Year,Gebietseinheit,Kategorien,GeoCode,Value
1991,Niedersachsen,Fälle,K030,21668
1992,Niedersachsen,Fälle,K030,24520
1993,Niedersachsen,Fälle,K030,29098
1994,Niedersachsen,Fälle,K030,30033
1995,Niedersachsen,Fälle,K030,24141
1996,Niedersachsen,Fälle,K030,27574
1997,Niedersachsen,Fälle,K030,25085
1998,Niedersachsen,Fälle,K030,31321
1999,Niedersachsen,Fälle,K030,32038
2000,Niedersachsen,Fälle,K030,23102
2001,Niedersachsen,Fälle,K030,21920
2002,Niedersachsen,Fälle,K030,22349
2003,Niedersachsen,Fälle,K030,20903
2004,Niedersachsen,Fälle,K030,15299
2005,Niedersachsen,Fälle,K030,17315
2006,Niedersachsen,Fälle,K030,12609
2007,Niedersachsen,Fälle,K030,11246
2008,Niedersachsen,Fälle,K030,10401
2009,Niedersachsen,Fälle,K030,8409
2010,Niedersachsen,Fälle,K030,12085
2011,Niedersachsen,Fälle,K030,11655
2012,Niedersachsen,Fälle,K030,14848
2013,Niedersachsen,Fälle,K030,15223
2014,Niedersachsen,Fälle,K030,13667
2015,Niedersachsen,Fälle,K030,15703
2016,Niedersachsen,Fälle,K030,15059
2017,Niedersachsen,Fälle,K030,15277
2018,Niedersachsen,Fälle,K030,14395
2019,Niedersachsen,Fälle,K030,14744
1991,Braunschweig-Stadt,Fälle,K03101,228
1992,Braunschweig-Stadt,Fälle,K03101,206
1993,Braunschweig-Stadt,Fälle,K03101,182
1994,Braunschweig-Stadt,Fälle,K03101,124
1995,Braunschweig-Stadt,Fälle,K03101,101
1996,Braunschweig-Stadt,Fälle,K03101,222
1997,Braunschweig-Stadt,Fälle,K03101,176
1998,Braunschweig-Stadt,Fälle,K03101,190
1999,Braunschweig-Stadt,Fälle,K03101,240
2000,Braunschweig-Stadt,Fälle,K03101,256
2001,Braunschweig-Stadt,Fälle,K03101,306
2002,Braunschweig-Stadt,Fälle,K03101,400
2003,Braunschweig-Stadt,Fälle,K03101,548
2004,Braunschweig-Stadt,Fälle,K03101,314
2005,Braunschweig-Stadt,Fälle,K03101,535
2006,Braunschweig-Stadt,Fälle,K03101,271
2007,Braunschweig-Stadt,Fälle,K03101,231
2008,Braunschweig-Stadt,Fälle,K03101,193
2009,Braunschweig-Stadt,Fälle,K03101,264
2010,Braunschweig-Stadt,Fälle,K03101,350
2011,Braunschweig-Stadt,Fälle,K03101,131
2012,Braunschweig-Stadt,Fälle,K03101,240
2013,Braunschweig-Stadt,Fälle,K03101,131
2014,Braunschweig-Stadt,Fälle,K03101,202
2015,Braunschweig-Stadt,Fälle,K03101,129
2016,Braunschweig-Stadt,Fälle,K03101,159
2017,Braunschweig-Stadt,Fälle,K03101,201
2018,Braunschweig-Stadt,Fälle,K03101,162
2019,Braunschweig-Stadt,Fälle,K03101,143
1991,Salzgitter-Stadt,Fälle,K03102,56
1992,Salzgitter-Stadt,Fälle,K03102,293
1993,Salzgitter-Stadt,Fälle,K03102,196
1994,Salzgitter-Stadt,Fälle,K03102,242
1995,Salzgitter-Stadt,Fälle,K03102,108
1996,Salzgitter-Stadt,Fälle,K03102,143
1997,Salzgitter-Stadt,Fälle,K03102,110
1998,Salzgitter-Stadt,Fälle,K03102,155
1999,Salzgitter-Stadt,Fälle,K03102,224
2000,Salzgitter-Stadt,Fälle,K03102,195
2001,Salzgitter-Stadt,Fälle,K03102,117
2002,Salzgitter-Stadt,Fälle,K03102,169
2003,Salzgitter-Stadt,Fälle,K03102,161
2004,Salzgitter-Stadt,Fälle,K03102,109
2005,Salzgitter-Stadt,Fälle,K03102,84
2006,Salzgitter-Stadt,Fälle,K03102,99
2007,Salzgitter-Stadt,Fälle,K03102,77
2008,Salzgitter-Stadt,Fälle,K03102,84
2009,Salzgitter-Stadt,Fälle,K03102,29
2010,Salzgitter-Stadt,Fälle,K03102,72
2011,Salzgitter-Stadt,Fälle,K03102,75
2012,Salzgitter-Stadt,Fälle,K03102,94
2013,Salzgitter-Stadt,Fälle,K03102,69
2014,Salzgitter-Stadt,Fälle,K03102,47
2015,Salzgitter-Stadt,Fälle,K03102,95
2016,Salzgitter-Stadt,Fälle,K03102,87
2017,Salzgitter-Stadt,Fälle,K03102,71
2018,Salzgitter-Stadt,Fälle,K03102,71
