Year,Gebietseinheit,Kategorien,GeoCode,Value
2012,Niedersachsen,Neubau,K030,19201.0
2012,Braunschweig,Neubau,K031,2139.0
2012,Braunschweig Stadt,Neubau,K03101,455.0
2012,Salzgitter.Stadt,Neubau,K03102,65.0
2012,Wolfsburg.Stadt,Neubau,K03103,278.0
2012,Gifhorn,Neubau,K03151,383.0
2012,Goslar,Neubau,K03153,30.0
2012,Helmstedt,Neubau,K03154,47.0
2012,Northeim,Neubau,K03155,74.0
2012,Peine,Neubau,K03157,254.0
2012,Wolfenbüttel,Neubau,K03158,172.0
2012,Göttingen,Neubau,K03159,381.0
2012,Hannover,Neubau,K032,3798.0
2012,Hannover Region,Neubau,K03241,2247.0
2012,Hannover Landeshauptstadt,Neubau,K03241001,879.0
2012,Diepholz,Neubau,K03251,744.0
2012,Hameln-Pyrmont,Neubau,K03252,88.0
2012,Hildesheim,Neubau,K03254,248.0
2012,Holzminden,Neubau,K03255,46.0
2012,Nienburg (Weser),Neubau,K03256,207.0
2012,Schaumburg,Neubau,K03257,218.0
2012,Lüneburg,Neubau,K033,4462.0
2012,Celle,Neubau,K03351,260.0
2012,Cuxhaven,Neubau,K03352,591.0
2012,Harburg,Neubau,K03353,942.0
2012,Lüchow-Dannenberg,Neubau,K03354,31.0
2012,Lüneburg,Neubau,K03355,620.0
2012,Osterholz,Neubau,K03356,292.0
2012,Rotenburg (Wümme),Neubau,K03357,396.0
2012,Heidekreis,Neubau,K03358,138.0
2012,Stade,Neubau,K03359,746.0
2012,Uelzen,Neubau,K03360,92.0
2012,Verden,Neubau,K03361,354.0
2012,Weser-Ems,Neubau,K034,8802.0
2012,Delmenhorst.Stadt,Neubau,K03401,184.0
2012,Emden Stadt,Neubau,K03402,91.0
2012,Oldenburg (Oldb) Stadt,Neubau,K03403,990.0
2012,Osnabrück Stadt,Neubau,K03404,298.0
2012,Wilhelmshaven Stadt,Neubau,K03405,51.0
2012,Ammerland,Neubau,K03451,666.0
2012,Aurich,Neubau,K03452,626.0
2012,Cloppenburg,Neubau,K03453,826.0
2012,Emsland,Neubau,K03454,1672.0
2012,Friesland,Neubau,K03455,254.0
2012,Grafschaft Bentheim,Neubau,K03456,435.0
2012,Leer,Neubau,K03457,545.0
2012,Oldenburg,Neubau,K03458,266.0
2012,Osnabrück,Neubau,K03459,887.0
2012,Vechta,Neubau,K03460,718.0
2012,Wesermarsch,Neubau,K03461,122.0
2012,Wittmund,Neubau,K03462,171.0
2013,Niedersachsen,Neubau,K030,20921.0
2013,Braunschweig,Neubau,K031,2094.0
2013,Braunschweig Stadt,Neubau,K03101,227.0
2013,Salzgitter.Stadt,Neubau,K03102,100.0
2013,Wolfsburg.Stadt,Neubau,K03103,172.0
2013,Gifhorn,Neubau,K03151,566.0
2013,Goslar,Neubau,K03153,57.0
2013,Helmstedt,Neubau,K03154,102.0
2013,Northeim,Neubau,K03155,57.0
2013,Peine,Neubau,K03157,280.0
2013,Wolfenbüttel,Neubau,K03158,168.0
2013,Göttingen,Neubau,K03159,365.0
2013,Hannover,Neubau,K032,3434.0
2013,Hannover Region,Neubau,K03241,1906.0
2013,Hannover Landeshauptstadt,Neubau,K03241001,636.0
2013,Diepholz,Neubau,K03251,598.0
2013,Hameln-Pyrmont,Neubau,K03252,180.0
2013,Hildesheim,Neubau,K03254,336.0
2013,Holzminden,Neubau,K03255,8.0
2013,Nienburg (Weser),Neubau,K03256,194.0
2013,Schaumburg,Neubau,K03257,212.0
2013,Lüneburg,Neubau,K033,4976.0
2013,Celle,Neubau,K03351,319.0
2013,Cuxhaven,Neubau,K03352,591.0
2013,Harburg,Neubau,K03353,1054.0
2013,Lüchow-Dannenberg,Neubau,K03354,44.0
2013,Lüneburg,Neubau,K03355,741.0
2013,Osterholz,Neubau,K03356,224.0
2013,Rotenburg (Wümme),Neubau,K03357,373.0
2013,Heidekreis,Neubau,K03358,207.0
2013,Stade,Neubau,K03359,805.0
2013,Uelzen,Neubau,K03360,125.0
2013,Verden,Neubau,K03361,493.0
2013,Weser-Ems,Neubau,K034,10417.0
2013,Delmenhorst.Stadt,Neubau,K03401,133.0
2013,Emden Stadt,Neubau,K03402,101.0
2013,Oldenburg (Oldb) Stadt,Neubau,K03403,1080.0
2013,Osnabrück Stadt,Neubau,K03404,405.0
2013,Wilhelmshaven Stadt,Neubau,K03405,19.0
2013,Ammerland,Neubau,K03451,858.0
2013,Aurich,Neubau,K03452,915.0
2013,Cloppenburg,Neubau,K03453,963.0
2013,Emsland,Neubau,K03454,1827.0
2013,Friesland,Neubau,K03455,324.0
2013,Grafschaft Bentheim,Neubau,K03456,638.0
2013,Leer,Neubau,K03457,808.0
2013,Oldenburg,Neubau,K03458,276.0
2013,Osnabrück,Neubau,K03459,865.0
2013,Vechta,Neubau,K03460,847.0
2013,Wesermarsch,Neubau,K03461,158.0
2013,Wittmund,Neubau,K03462,200.0
2014,Niedersachsen,Neubau,K030,23351.0
2014,Braunschweig,Neubau,K031,2641.0
2014,Braunschweig Stadt,Neubau,K03101,296.0
2014,Salzgitter.Stadt,Neubau,K03102,55.0
2014,Wolfsburg.Stadt,Neubau,K03103,384.0
2014,Gifhorn,Neubau,K03151,691.0
2014,Goslar,Neubau,K03153,60.0
2014,Helmstedt,Neubau,K03154,178.0
2014,Northeim,Neubau,K03155,79.0
2014,Peine,Neubau,K03157,256.0
2014,Wolfenbüttel,Neubau,K03158,206.0
2014,Göttingen,Neubau,K03159,436.0
2014,Hannover,Neubau,K032,3890.0
2014,Hannover Region,Neubau,K03241,2355.0
2014,Hannover Landeshauptstadt,Neubau,K03241001,976.0
2014,Diepholz,Neubau,K03251,615.0
2014,Hameln-Pyrmont,Neubau,K03252,162.0
2014,Hildesheim,Neubau,K03254,369.0
2014,Holzminden,Neubau,K03255,20.0
2014,Nienburg (Weser),Neubau,K03256,186.0
2014,Schaumburg,Neubau,K03257,183.0
2014,Lüneburg,Neubau,K033,5539.0
2014,Celle,Neubau,K03351,332.0
2014,Cuxhaven,Neubau,K03352,789.0
2014,Harburg,Neubau,K03353,1105.0
2014,Lüchow-Dannenberg,Neubau,K03354,77.0
2014,Lüneburg,Neubau,K03355,492.0
2014,Osterholz,Neubau,K03356,333.0
2014,Rotenburg (Wümme),Neubau,K03357,526.0
2014,Heidekreis,Neubau,K03358,242.0
2014,Stade,Neubau,K03359,1052.0
2014,Uelzen,Neubau,K03360,173.0
2014,Verden,Neubau,K03361,418.0
2014,Weser-Ems,Neubau,K034,11281.0
2014,Delmenhorst.Stadt,Neubau,K03401,229.0
2014,Emden Stadt,Neubau,K03402,255.0
2014,Oldenburg (Oldb) Stadt,Neubau,K03403,698.0
2014,Osnabrück Stadt,Neubau,K03404,356.0
2014,Wilhelmshaven Stadt,Neubau,K03405,103.0
2014,Ammerland,Neubau,K03451,624.0
2014,Aurich,Neubau,K03452,754.0
2014,Cloppenburg,Neubau,K03453,1135.0
2014,Emsland,Neubau,K03454,2272.0
2014,Friesland,Neubau,K03455,492.0
